,University Name,Field,City,Region,Major,Lowest Score,Highest Score,Ranking,YEAR
45,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Guidance and Psychological Counseling,382.54712,411.07472,38200,2015
46,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,History,311.75173,392.74554,132000,2015
47,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Math,223.55506,273.33033,249000,2015
48,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Midwifery,301.56454,324.12351,211000,2015
49,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Nursing,335.0811,410.25742,188000,2015
50,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Pre-school Teaching,350.77192,410.87934,129000,2015
51,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Primary School Math Teaching,323.03235,399.51065,87900,2015
52,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Social Science Teaching,346.23198,375.9931,54600,2015
53,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Teaching,328.03139,360.51271,105000,2015
54,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Language and Literature,338.1254,376.63013,77900,2015
55,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Teaching,384.53794,444.30647,24700,2015
56,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region, School Science Teaching,255.24281,338.38129,207000,2016
57,ADIYAMAN UNIVERSITY,DIL,ADIYAMAN,Southeastern Anatolia Region,"
Arabic Teaching",368.92861,421.26895,25900,2016
58,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Art History,289.66311,404.86958,254000,2016
59,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Biology,272.90199,343.55506,177000,2016
60,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Civil Engineering,301.62054,409.26452,136000,2016
61,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Guidance and Psychological Counseling,406.6184,442.10048,47000,2016
62,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,History,323.49986,413.86284,153000,2016
63,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Math,234.23585,307.34537,264000,2016
64,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Midwifery,337.26412,372.09889,240000,2016
65,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Nursing,372.8034,434.79579,203000,2016
66,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Pre-school Teaching,381.94357,437.25207,171000,2016
67,ADIYAMAN UNIVERSITY,SAY,ADIYAMAN,Southeastern Anatolia Region,Primary School Math Teaching,352.97906,418.57163,87500,2016
68,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Social Science Teaching,360.48279,379.46128,56300,2016
69,ADIYAMAN UNIVERSITY,EA,ADIYAMAN,Southeastern Anatolia Region,Teaching,358.94915,389.85052,108000,2016
70,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Language and Literature,353.66063,399.65017,90800,2016
71,ADIYAMAN UNIVERSITY,SOZ,ADIYAMAN,Southeastern Anatolia Region,Turkish Teaching,407.86201,460.16953,26400,2016
72,ADIYAMAN UNIVERSITY,DIL,ADIYAMAN,Southeastern Anatolia Region,"
Arabic Teaching",359.26135,400.06877,28700,2017
